step,KuhnPoker/conv,KuhnPoker/iters,KuhnPoker/nodes_touched,KuhnPoker/tau,KuhnPoker/alpha,KuhnPoker/beta,KuhnPoker/gamma
0,0.45833333333333326,0,0,,,,
1,0.45833333333333326,1,116,1,1.0224879191439482,-0.8825253571253122,4.9972556300742
2,0.2512649837354157,2,232,1,1.0255333535840228,-0.8838958880641179,4.997224649023956
3,0.1332673425268438,3,348,1,1.0023759783150674,-0.888788141677312,4.997385855908725
4,0.1539032819590464,4,464,1,0.9781375760729989,-0.8949406414492791,4.997547917406614
5,0.08610680554584602,5,580,1,0.9872473067629381,-0.8951970970681253,4.997476972529659
6,0.11671491705202708,6,696,1,0.9654827177179479,-0.901764085684589,4.997618487514195
7,0.02996478489496998,7,812,1,0.981343583362325,-0.9004074934838491,4.9975021803679684
8,0.04404979637722259,8,928,1,0.9271593001338081,-0.9166456496752409,4.997852329700777
9,0.013693778146146945,9,1044,1,0.9460344924475248,-0.9134008454434241,4.997724497080133
10,0.03301950144396612,10,1160,1,0.9003617925492611,-0.9307501477552163,4.997998032062338
11,0.038917851962618405,11,1276,1,0.9397724862342671,-0.9199863982111365,4.997750055425409
12,0.039608691738600044,12,1392,1,0.9495167091794865,-0.9194491262275029,4.997678526804284
13,0.020881496740236732,13,1508,1,0.9531499324263959,-0.9207609063456903,4.997646432938217
14,0.024787204705515153,14,1624,1,0.9292606236331071,-0.9308538628054022,4.997793988322509
15,0.020844432236876126,15,1740,1,0.9392971779191561,-0.9300094165669321,4.997721949651178
16,0.01358402027152042,16,1856,1,0.9349161876905796,-0.9340375176514393,4.9977421649537455
17,0.023778193394738245,17,1972,1,0.9198352523293638,-0.9420972029088923,4.997828684901314
18,0.015120238005460862,18,2088,1,0.9462014131075915,-0.9353177695818924,4.997652087858849
19,0.012800026555168292,19,2204,1,0.9300468462866052,-0.9436636724288372,4.997748559895676
20,0.01599330445224123,20,2320,1,0.925906333840768,-0.947914951690509,4.997766271061086
21,0.011346786995864055,21,2436,1,0.9381587499117152,-0.9460299922584523,4.997679477688951
22,0.016456119342940084,22,2552,1,0.9265605528444141,-0.9531384095242652,4.997745082338003
23,0.01079440453403352,23,2668,1,0.9451386558479595,-0.9488379625300833,4.997616008275899
24,0.015337936830553345,24,2784,1,0.9301928015830612,-0.9572753587802743,4.9977045157410585
25,0.006403804552125109,25,2900,1,0.9479518271344247,-0.9532251813157848,4.997579128648576
26,0.009209033839044534,26,3016,1,0.9138834708102739,-0.9694259822512377,4.997788397933237
27,0.010956787737665813,27,3132,1,0.9321008844571601,-0.9649609666493009,4.997665066553061
28,0.008073728239740924,28,3248,1,0.9423618213745224,-0.9637361688229893,4.997588592106354
29,0.010859265217998404,29,3364,1,0.932282373345763,-0.9706091070508058,4.997645161396968
30,0.0038490518514120164,30,3480,1,0.9477827992998331,-0.9672671171913849,4.997533049145295
31,0.007884828931503579,31,3596,1,0.9066535954402237,-0.9872384649350743,4.997786183268605
32,0.006749265695492224,32,3712,1,0.9399428271575152,-0.9761925382502492,4.997565916870439
33,0.005473857953677386,33,3828,1,0.9362087892179121,-0.9806690336750365,4.9975806143987
34,0.007535388115091607,34,3944,1,0.9301713022530465,-0.9861800146818038,4.997609951738618
35,0.0008488496946741086,35,4060,1,0.9467171972027313,-0.9822160525964496,4.997490046694177
36,0.006618969554980619,36,4176,1,0.8576471275558719,-1.0259984288851767,4.998017737348145
37,0.0038153607960375313,37,4292,1,0.9469862354434435,-0.9880652993958252,4.997467249160137
38,0.006948592258839759,38,4408,1,0.9263118989611161,-1.0000467647066373,4.99759369566409
39,0.005554629718149545,39,4524,1,0.9549136160082072,-0.9907319402149164,4.997390926788165
40,0.0072281238534237235,40,4640,1,0.9482073216313736,-0.9966457597255463,4.9974264363946235
41,0.007703421085097861,41,4756,1,0.9624807173608971,-0.9935710670424496,4.997315061927072
42,0.005810536484954304,42,4872,1,0.9681771160356003,-0.9941836395642918,4.997262441735453
43,0.009111516843508666,43,4988,1,0.9589331357494824,-1.0012275134254325,4.997317531064853
44,0.004054407521283665,44,5104,1,0.9813726423715137,-0.9946573623910406,4.997140694770394
45,0.005249234477233244,45,5220,1,0.9492408693756684,-1.011714038411886,4.997362280089934
46,0.007015783031289885,46,5336,1,0.9633614296910156,-1.0086128976337836,4.997250280638843
47,0.005264430697024675,47,5452,1,0.9789243288695035,-1.0049237851310588,4.997122777122968
48,0.006013722689137441,48,5568,1,0.969390524044472,-1.0122225536128724,4.997181659581224
49,0.005592569312011908,49,5684,1,0.9781518567402316,-1.0115041893911707,4.997103521889633
50,0.001806913225696316,50,5800,1,0.9779546503873591,-1.014734304577951,4.997092205840836
51,0.005966332967340643,51,5916,1,0.9317576094500213,-1.0389358176313321,4.99740818964329
52,0.0037169486516827055,52,6032,1,0.9867416675972609,-1.0171645806149714,4.9969983827115865
53,0.004089108058646818,53,6148,1,0.9689938025147251,-1.0282778824521834,4.997120073944991
54,0.005678131092913735,54,6264,1,0.9761389281820585,-1.028267504501603,4.997052992841127
55,0.0018949093554469776,55,6380,1,0.9935439024800976,-1.0236733910037215,4.99690375521056
56,0.003884361880436199,56,6496,1,0.9483712367673305,-1.0475620393870333,4.997228713426814
57,0.004343223708861921,57,6612,1,0.98281303281611,-1.0349287440135602,4.99696003653988
58,0.0036189353474695984,58,6728,1,0.9907247567277466,-1.034582681957611,4.996883500601093
59,0.004093835208516,59,6844,1,0.9856639604908657,-1.0401363433053339,4.99690889752085
60,0.0036991508806784867,60,6960,1,0.9941092286262865,-1.0395466652394085,4.9968269581252525
61,0.001367261208410242,61,7076,1,0.9926224714395526,-1.0434964214154672,4.996823869271941
62,0.004209660977613439,62,7192,1,0.9516717344515695,-1.0661107433476456,4.997120066616478
63,0.0026209344540202018,63,7308,1,1.0043780992127147,-1.0446776059348064,4.996696927473596
64,0.00281249860308988,64,7424,1,0.9863328305528007,-1.0563350578373885,4.996827829316793
65,0.003991740720715953,65,7540,1,0.9924654531123847,-1.0568083845290555,4.996762946315173
66,0.0012286002256633455,66,7656,1,1.0110849620172186,-1.0514953974267158,4.9965922652722465
67,0.0029993891040674403,67,7772,1,0.9616775397565589,-1.0783449277564046,4.996970016877185
68,0.0029379110366992978,68,7888,1,1.0043713913149817,-1.0612898731349107,4.99661583029607
69,0.0026691261507026665,69,8004,1,1.0064690995524004,-1.0636711948228517,4.9965812571637045
70,0.0030841378800221253,70,8120,1,1.0051980202225135,-1.0676498040875897,4.996574851944498
71,0.002463995833281718,71,8236,1,1.0147114832867574,-1.0665502238768347,4.99647601205503
72,0.0013200273151310893,72,8352,1,1.0076653337917252,-1.0732833883202142,4.996518936786259
73,0.0030808412928770013,73,8468,1,0.9826962170311915,-1.088823071789358,4.996707258885724
74,0.0020842329682786154,74,8584,1,1.0238030073682678,-1.0724491663480593,4.99634178258699
75,0.0020606620380729523,75,8700,1,1.0092302628683414,-1.0828436584270373,4.996451179991289
76,0.00293132887393599,76,8816,1,1.0117532264500226,-1.085089504118938,4.996410731478636
77,0.0008881674160295949,77,8932,1,1.0307349092567932,-1.0794315491450732,4.996222304193877
78,0.0025006428545966963,78,9048,1,0.9799075233013204,-1.107948905879158,4.996638968746954
79,0.0022280463127273276,79,9164,1,1.0296645211297868,-1.0868609392624007,4.996192940723404
80,0.002114795914775369,80,9280,1,1.027490441835145,-1.0913982617272142,4.996192883928097
81,0.002525314569606002,81,9396,1,1.028184439486068,-1.0945644408849318,4.996166321455856
82,0.0015724433532860183,82,9512,1,1.0393304830373828,-1.0926538989598846,4.996041863124123
83,0.0013187183994926854,83,9628,1,1.0208268655696096,-1.1052530382234635,4.996192125582228
84,0.002264287995841552,84,9744,1,1.0158691985060702,-1.1112991327769555,4.996215749373065
85,0.0017441784349995215,85,9860,1,1.04360526991877,-1.1011329155678768,4.995937182246184
86,0.001609420744880491,86,9976,1,1.034754532953799,-1.109054370210577,4.995999730080802
87,0.0022067219887768608,87,10092,1,1.0341527280262783,-1.112940524428203,4.995983393848126
88,0.0005440052121362671,88,10208,1,1.0517112055767828,-1.107814654541034,4.995791172219452
89,0.002059284715655696,89,10324,1,0.9908059070111663,-1.1426937022419725,4.996327004864524
90,0.0016505815491289766,90,10440,1,1.0547418559690165,-1.1134812346511103,4.995714703677974
91,0.001649515320817585,91,10556,1,1.0476622114500644,-1.1206295023014397,4.995761568820322
92,0.0021067418309202446,92,10672,1,1.0507330363892378,-1.1227204697209345,4.995707305138159
93,0.0011618626313122382,93,10788,1,1.065137861898045,-1.1191329016113094,4.995536468368759
94,0.001273089329353716,94,10904,1,1.0407641346945877,-1.1351247646304201,4.995757078306111
95,0.001867614560669334,95,11020,1,1.048082281312477,-1.1350715471418082,4.995660302678919
96,0.001489327263698409,96,11136,1,1.0689405546320478,-1.1281511276591139,4.995421127208548
97,0.0014605859242349528,97,11252,1,1.0615689381601543,-1.1355725113070227,4.995472420875082
98,0.0017999177111147346,98,11368,1,1.063787126356492,-1.1381428008776622,4.995423223316406
99,0.0003899518591142792,99,11484,1,1.076633431957272,-1.135292576061344,4.995259824241434
100,0.0017666200816003896,100,11600,1,1.008905072280575,-1.1750044223772818,4.995907638904624
101,0.001115691496721527,101,11716,1,1.08205565818128,-1.1399414633099765,4.995145710433265
102,0.001365494342179835,102,11832,1,1.0637543075223572,-1.1531405896528735,4.99531551322238
103,0.0017961971696605072,103,11948,1,1.076322431055396,-1.1503741552545323,4.995152479841462
104,0.0009516001314079092,104,12064,1,1.0923058431303665,-1.1458811960870594,4.994944993087188
105,0.0010889889071062642,105,12180,1,1.0657115938474235,-1.1635267471811868,4.99520977803198
106,0.0015888276108545762,106,12296,1,1.0751651333717671,-1.1623613992676023,4.995078208806713
107,0.0012735468637074532,107,12412,1,1.0960556245516198,-1.1552390294175225,4.994812221846725
108,0.0012660851889262914,108,12528,1,1.0888239375727125,-1.1628208763941545,4.994864971258
109,0.0015219337508209085,109,12644,1,1.091713199752771,-1.165129407238655,4.994800821491243
110,0.00025324927124131813,110,12760,1,1.1035635713858638,-1.162735120271894,4.994630101842513
111,0.001435277145164171,111,12876,1,1.022596479153943,-1.211244617068588,4.995473470985466
112,0.0009495381011649373,112,12992,1,1.1071675520112918,-1.168510459025938,4.994521886861337
113,0.0012146855080837626,113,13108,1,1.090814067327881,-1.18109141573707,4.9946830772970445
114,0.0014583462880089493,114,13224,1,1.1056474042767217,-1.1770509887977378,4.994473612667175
115,0.0008936521589502366,115,13340,1,1.1175127870997767,-1.1746277791953643,4.994293164549402
116,0.0007742236273649283,116,13456,1,1.0974652205733506,-1.1892833743180478,4.994503774144612
117,0.0013302970331340036,117,13572,1,1.0938352434749274,-1.1952214064474802,4.994512302070057
118,0.0010457294567241537,118,13688,1,1.1227678411972954,-1.1835158966762551,4.994120476749913
119,0.0009515208255446161,119,13804,1,1.1145106006638008,-1.191898716108632,4.994188916298228
120,0.0013682092799084111,120,13920,1,1.1132129305546468,-1.1965717477439628,4.994168594699177
121,0.0005527893072185541,121,14036,1,1.1337677924125762,-1.1894015658134558,4.993865793425028
122,0.0010963065354880341,122,14152,1,1.093690972064512,-1.2154193693272335,4.994334159054944
123,0.0011519484394374169,123,14268,1,1.1296195231517412,-1.1995815288685439,4.993843787136441
124,0.0010462106010872274,124,14384,1,1.1352188778602494,-1.2005213550834049,4.993729963020543
125,0.0010425098167960167,125,14500,1,1.1338309729897342,-1.2052864186343213,4.993708717117203
126,0.0010667972429353467,126,14616,1,1.1368928239426987,-1.2076274284832669,4.993626977332335
127,0.000413678574180093,127,14732,1,1.141236975053894,-1.2092690781963025,4.993526540232296
128,0.0011360280197144634,128,14848,1,1.0989265191970266,-1.2371881624495211,4.994037484011448
129,0.0009690278813560271,129,14964,1,1.150757425206494,-1.212106863202336,4.993309223297372
130,0.000949451768423426,130,15080,1,1.1463368160046876,-1.2186179412360165,4.993328395693624
131,0.001149079278334103,131,15196,1,1.1486006325329292,-1.2214421591809776,4.99325274353648
132,0.0007540588040516327,132,15312,1,1.1610861501055936,-1.2185814646380744,4.993028166533325
133,0.0005699104193558346,133,15428,1,1.14395669964268,-1.232286760626453,4.9932291572912035
134,0.001071163822423643,134,15544,1,1.1336454024970783,-1.2423323735434546,4.993327390307472
135,0.000834079578559993,135,15660,1,1.1674938545112612,-1.2273016848929972,4.992794377943952
136,0.000855336145716451,136,15776,1,1.15861542091129,-1.2364427241330256,4.992879104975065
137,0.001149222333522576,137,15892,1,1.1631068898829653,-1.2380600506692412,4.992764463426588
138,0.0004907565046326501,138,16008,1,1.1807636906894734,-1.2322432798926077,4.992444943772491
139,0.0007479276705341931,139,16124,1,1.142598454792453,-1.2583057732742091,4.9929667640337065
140,0.0009743633957362829,140,16240,1,1.1663928331938112,-1.2487648934510551,4.992566512892594
141,0.0008374724559146451,141,16356,1,1.1825908260621656,-1.2437073371540832,4.992263430985287
142,0.0008833407992861475,142,16472,1,1.1784838394440798,-1.250264152392983,4.9922762206881455
143,0.0010734203953124966,143,16588,1,1.1843876116087468,-1.2511003196043367,4.992129267417276
144,0.0003223859869875556,144,16704,1,1.1972409941085398,-1.2479608091904093,4.99186495322709
145,0.0008108364769866261,145,16820,1,1.1415931666360224,-1.2849623071979606,4.992676098406154
146,0.000848837607017261,146,16936,1,1.1900948617524476,-1.260560501215826,4.991872338889024
147,0.0008030253103371299,147,17052,1,1.1956548218030365,-1.2616102805552232,4.991723640631343
148,0.000738554129587371,148,17168,1,1.196239045888925,-1.2655615022807163,4.991656410366645
149,0.000976512053358386,149,17284,1,1.195432184163717,-1.270348342991547,4.991611750962463
150,0.0003199048979560526,150,17400,1,1.212522165324129,-1.2646702327886008,4.9912581739931685
151,0.0008187396742111719,151,17516,1,1.1608011899484363,-1.2999611557076536,4.9920541096400015
152,0.0007941917817866351,152,17632,1,1.2104848726633068,-1.2745046739396118,4.991171954469149
153,0.0007594697140470008,153,17748,1,1.212312096682505,-1.2777815156730266,4.991077301424999
154,0.0006984734032915996,154,17864,1,1.2134340315629613,-1.281489988562238,4.990994057691973
155,0.0009044603045112176,155,17980,1,1.2126216650449606,-1.2863699187012343,4.990944451807271
156,0.00024832514993494703,156,18096,1,1.2287820113242967,-1.2811476012856193,4.990583433954164
157,0.0008101409991232156,157,18212,1,1.1679860477393107,-1.3227884691525078,4.991574064028704
158,0.0006935086438521199,158,18328,1,1.2300182277864626,-1.2892123454944646,4.990425600049834
159,0.0007239014279448175,159,18444,1,1.2256390694117725,-1.2962847429325917,4.99043930418483
160,0.0007055586974407391,160,18560,1,1.2311281675224703,-1.2974305474775785,4.990266066791095
161,0.0008723443492300309,161,18676,1,1.2332071495178023,-1.3006445207462995,4.990155527211096
162,0.0002572636351761415,162,18792,1,1.2471588996284655,-1.296680523993366,4.989810103696296
163,0.0007726902995621454,163,18908,1,1.1895630753836084,-1.336935384702268,4.990810477937519
164,0.0007003233921567542,164,19024,1,1.247847437340492,-1.3052248358310576,4.989647859343689
165,0.0006938461917128103,165,19140,1,1.2463027767233816,-1.3106853516124595,4.989603189397782
166,0.0007214358214116534,166,19256,1,1.2492136555921913,-1.313435992898087,4.989467526501826
167,0.0008631709550060707,167,19372,1,1.254548722068319,-1.314702232710637,4.989280040882948
168,0.0002458085479162264,168,19488,1,1.266936765995125,-1.311644162718592,4.988939714767877
169,0.0006899661442235083,169,19604,1,1.207252978941802,-1.3538018442228568,4.990049045125919
170,0.0007297513921227794,170,19720,1,1.2624736704249655,-1.3235086279387078,4.988871517317158
171,0.0006482859909505978,171,19836,1,1.2686897972461155,-1.3242411894809032,4.9886543850576635
172,0.0005559203571168791,172,19952,1,1.2661280356945548,-1.3304369517982737,4.98862518758953
173,0.0008454431471735802,173,20068,1,1.2617776109044936,-1.3377982227490373,4.988633389234888
174,0.00033004733198940817,174,20184,1,1.28634059770226,-1.3270800920673707,4.988001064506646
175,0.0005691680754456863,175,20300,1,1.2422403624138856,-1.3596702712875284,4.988871749604761
176,0.0007545804748002594,176,20416,1,1.273168072829973,-1.344601761949857,4.988119096983354
177,0.0005853117919288053,177,20532,1,1.2908484350336589,-1.3381229102022316,4.9876229452883045
178,0.0005787428059491895,178,20648,1,1.281405152005271,-1.3487526981623765,4.98774839426779
179,0.0008016064245356391,179,20764,1,1.2842501691378791,-1.3516452516308473,4.987588303372311
180,0.00047632673843311935,180,20880,1,1.3042244166564851,-1.343706621135047,4.987016813575948
181,0.00040525637968147343,181,20996,1,1.2812056358645336,-1.3630679453009995,4.987466286680387
182,0.0007615022776277514,182,21112,1,1.2764127774890626,-1.3709540406832441,4.9874790670691596
183,0.0005088700528591561,183,21228,1,1.311943569200757,-1.3528877424418695,4.9865236406275795
184,0.0005925134936568821,184,21344,1,1.2948383013700198,-1.3685750203727174,4.986842352957206
185,0.000717629427823635,185,21460,1,1.3060241053662642,-1.3661205645811232,4.986462610322356
186,0.000627720650794833,186,21576,1,1.3192705547349062,-1.3623950335571453,4.986020055846538
187,0.00028824800251006644,187,21692,1,1.315868393752975,-1.369323610256198,4.985998378572136
188,0.0007148870443801081,188,21808,1,1.279558715452825,-1.3980453839142115,4.986789132354113
189,0.000520214426960014,189,21924,1,1.3294711772333925,-1.3701467499964233,4.985419598887546
190,0.0005847674213868836,190,22040,1,1.3166168144032322,-1.3832657817792504,4.9856443114345055
191,0.0005900289214380017,191,22156,1,1.3260734198715654,-1.3819250332590618,4.985279044884624
192,0.000732346269173928,192,22272,1,1.3300022451571194,-1.3841998985928918,4.985055774166037
193,0.00022347381514770115,193,22388,1,1.3446416324030612,-1.3795664512835,4.984533904854666
194,0.0005537473726005271,194,22504,1,1.2870858472248432,-1.4228238414199392,4.9859343054249265
195,0.0006742597376243331,195,22620,1,1.3371556624633663,-1.3940909177848115,4.984494763026181
196,0.0005227529191711988,196,22736,1,1.3508344457214598,-1.390033023222594,4.983982784828976
197,0.0005194067188581397,197,22852,1,1.3411431127537508,-1.4012492659859466,4.9841299452049945
198,0.0007095545558192806,198,22968,1,1.344295542311094,-1.4040765107727085,4.983910693204821
199,0.0004974255996348376,199,23084,1,1.3640030947075075,-1.3960594856828283,4.983203370509478
200,0.00026815476658240134,200,23200,1,1.349034839016231,-1.4107952250975107,4.983508366690822
201,0.0006807086661806405,201,23316,1,1.320613050377141,-1.4351632056246804,4.984184221811146
202,0.0004703697763757675,202,23432,1,1.3723825448888134,-1.405244107559691,4.982533584790272
203,0.0005413214426526758,203,23548,1,1.356620107321367,-1.4206251796116938,4.982869439539463
204,0.000505339593013715,204,23664,1,1.3674402335093576,-1.418361009511617,4.982397133427547
205,0.0006649193388736929,205,23780,1,1.3673641159591512,-1.4233919728600188,4.982253254901055
206,0.00020922912407941863,206,23896,1,1.3852624522587254,-1.4164791804698742,4.981540971620204
207,0.0005098780484824594,207,24012,1,1.3285980777982267,-1.460410254592249,4.983125155824654
208,0.0006266540666053366,208,24128,1,1.37838667346544,-1.4310050747598695,4.98145307883186
209,0.00047169378022057784,209,24244,1,1.3927570956459434,-1.4264084055781,4.980829120352484
210,0.0004912313017687298,210,24360,1,1.3813598237334581,-1.439071357467934,4.98104221049167
211,0.0006363988828991529,211,24476,1,1.3870197168042082,-1.4402880932966287,4.980695142431019
212,0.0005193594904487897,212,24592,1,1.4042180563584825,-1.4337757255850665,4.979952099245703
213,0.00025668001667086826,213,24708,1,1.3970291704816429,-1.4436280642553163,4.980027450233982
214,0.0006138639877092955,214,24824,1,1.3636698301419619,-1.4720157371325067,4.980969221871238
215,0.0004897166655848662,215,24940,1,1.4129842362770686,-1.4429928468255884,4.979129226451064
216,0.0004966666364080718,216,25056,1,1.4045723825782046,-1.4537507108919807,4.979246661784121
217,0.0004531605122868321,217,25172,1,1.4088726511152698,-1.455922051250106,4.978915777624868
218,0.0006518180384837424,218,25288,1,1.4075777074457938,-1.4619369118678174,4.978779614418095
219,0.0003593453958042059,219,25404,1,1.430471687874386,-1.4514867595331602,4.9777616283415895
220,0.0003339760078585885,220,25520,1,1.4024328777287465,-1.4758826850232234,4.978593482773261
221,0.0006274872423004674,221,25636,1,1.402125150161058,-1.4813236425625531,4.978417219492172
222,0.0004060613707359828,222,25752,1,1.439195530339638,-1.4608630133721896,4.976846005280157
223,0.0004875411472214375,223,25868,1,1.4195707658948105,-1.4794963652790973,4.977389032457893
224,0.00047362217085239466,224,25984,1,1.4328748208386035,-1.4754518840929745,4.976683065541525
225,0.0006110387654101324,225,26100,1,1.4349147165541274,-1.4792174345264018,4.9763990778585185
226,0.0002502012390604158,226,26216,1,1.4521584914912715,-1.472560035091986,4.975508773275129
227,0.0004238664235750589,227,26332,1,1.4082735870691656,-1.5085422738656038,4.9770187457444175
228,0.0005959523089986984,228,26448,1,1.4397661400856594,-1.4914274452249037,4.97557625076664
229,0.00039652752718200013,229,26564,1,1.4616466141692672,-1.4815256338544989,4.974464455242435
230,0.0004667678694064148,230,26680,1,1.4434058362210207,-1.499315846549041,4.974994314572409
231,0.0005031007749088934,231,26796,1,1.455740170493465,-1.495927739632646,4.974259904012177
232,0.0005590059868721409,232,26912,1,1.463386586985051,-1.495830433076775,4.97370743973807
233,0.00021468190618953442,233,27028,1,1.4726951956955832,-1.4946074871175548,4.973071950431906
234,0.0004617906744261713,234,27144,1,1.4252569183220611,-1.5334961095175033,4.974857517180734
235,0.0005564680971636704,235,27260,1,1.469659535009632,-1.507080314895819,4.972726265677595
236,0.00040082160759605245,236,27376,1,1.483368331157716,-1.5028155628248034,4.971869461291509
237,0.0004405428184006688,237,27492,1,1.4693127878632124,-1.5177749681206336,4.972254666678771
238,0.0005135038955665638,238,27608,1,1.4780379763422526,-1.5169030724992019,4.971610960895562
239,0.0005218671213192971,239,27724,1,1.4899700839097474,-1.5138450417401388,4.97080427593739
240,0.00018907166151979626,240,27840,1,1.4945045503100285,-1.5159216738914072,4.970329599945915
241,0.00046778102914629693,241,27956,1,1.4437842634070344,-1.5574908577746953,4.972418255872989
242,0.0005314749937758434,242,28072,1,1.4958995069445928,-1.5253814160129109,4.969729752348085
243,0.00039430944243282195,243,28188,1,1.5065008550946657,-1.5232742105489168,4.96893943838686
244,0.00042428365561750225,244,28304,1,1.4939864671233936,-1.537204773608261,4.9692790230724855
245,0.0005043446583259115,245,28420,1,1.5016206439714277,-1.5371096655063532,4.968624300416817
246,0.0005084976983529554,246,28536,1,1.5146911657202617,-1.5332678568839593,4.967679998447718
247,0.00019169116370260086,247,28652,1,1.518826798813634,-1.5356353399909994,4.967176022228589
248,0.0004502234926246351,248,28768,1,1.4699602765754862,-1.5759250800181488,4.969362000977199
249,0.0005255274911200314,249,28884,1,1.5195807758381163,-1.5455809341959488,4.96654281212574
250,0.00037762663865065216,250,29000,1,1.531721004347666,-1.5424167906489759,4.965591038591558
251,0.0004167102632418318,251,29116,1,1.5174123084307936,-1.5576341080125913,4.966052667249988
252,0.0004710435588513029,252,29232,1,1.5264668027779567,-1.556551179750617,4.965254500972376
253,0.00051416760737788,253,29348,1,1.536863922893046,-1.5545663443531577,4.964364685694499
